species,subject,time,hemisphere,gm_or_wm,sulcus,index_number,x,y,z
macaque,10,22months,lh,wh,st,4,34.36526870727539,-1.4998271465301514,-4.028515338897705
macaque,10,22months,lh,wh,st,5,34.06160354614258,3.89259934425354,0.9223040342330933
macaque,10,22months,lh,wh,st,6,32.016441345214844,10.156537055969238,9.056143760681152
macaque,10,22months,lh,wh,st,7,30.298852920532227,15.6607666015625,15.452407836914062
macaque,10,22months,lh,wh,st,8,26.230375289916992,22.746496200561523,19.084671020507812
macaque,10,22months,lh,wh,st,9,22.975154876708984,27.80748176574707,23.528390884399414
macaque,10,22months,lh,wh,st,10,19.36836051940918,29.760299682617188,27.14152717590332
macaque,10,22months,lh,wh,st,11,18.20632553100586,33.58864212036133,32.83448791503906
macaque,10,22months,lh,wh,st,12,18.18155288696289,39.507789611816406,37.43292236328125
macaque,10,22months,central,pi,fl,1,2.8455934524536133,6.1649603843688965,59.18633270263672
macaque,10,22months,central,pi,fl,2,-0.560076892375946,0.783200740814209,58.43564987182617
macaque,10,22months,central,pi,fl,3,-0.791175127029419,-7.316080093383789,57.21957778930664
macaque,10,22months,central,pi,fl,4,-2.5113534927368164,-16.70773696899414,55.337642669677734
macaque,10,22months,central,pi,fl,5,-3.367769479751587,-27.70052146911621,51.60101318359375
macaque,10,22months,central,pi,fl,6,-3.930931329727173,-41.5474739074707,45.91852569580078
macaque,10,22months,central,pi,fl,7,-5.285435676574707,-52.050880432128906,40.14887237548828
macaque,10,22months,central,pi,fl,8,-6.362964153289795,-60.60993194580078,31.54475212097168
macaque,10,22months,central,pi,fl,9,-7.489475727081299,-68.72848510742188,20.089649200439453
macaque,10,22months,central,pi,fl,10,-7.1644062995910645,-72.46527099609375,9.282161712646484
macaque,10,22months,central,pi,fl,11,-6.1713337898254395,-71.65641021728516,4.898229598999023
macaque,10,22months,central,pi,ol,1,8.300217628479004,71.939697265625,2.9159951210021973
macaque,10,22months,central,pi,ol,2,6.45528507232666,75.24990844726562,11.374792098999023
macaque,10,22months,central,pi,ol,3,5.530699729919434,75.07316589355469,21.186552047729492
macaque,10,22months,central,pi,ol,4,4.925540924072266,70.50281524658203,29.79827117919922
macaque,10,22months,central,pi,ol,5,5.497860908508301,65.10472106933594,35.27771759033203
macaque,10,22months,central,pi,ol,6,6.100954532623291,59.809539794921875,40.95524978637695
macaque,10,22months,central,pi,ol,7,6.725736618041992,52.49190139770508,44.504337310791016
macaque,10,22months,central,pi,pl,1,6.2745513916015625,53.24443817138672,44.18594741821289
macaque,10,22months,central,pi,pl,2,2.857297897338867,47.47504425048828,49.909339904785156
macaque,10,22months,central,pi,pl,3,2.602088689804077,37.06342697143555,54.70341873168945
macaque,10,22months,central,pi,pl,4,1.994245171546936,31.118377685546875,57.045555114746094
macaque,10,22months,central,pi,pl,5,2.1108436584472656,23.067691802978516,58.55976867675781
macaque,10,22months,central,pi,pl,6,0.8994026780128479,13.374754905700684,59.347721099853516
macaque,10,22months,central,pi,pl,7,2.3678951263427734,5.680638313293457,58.87782287597656
macaque,10,22months,rh,pi,arc,1,-24.075687408447266,-44.535892486572266,38.26487731933594
macaque,10,22months,rh,pi,arc,2,-28.334653854370117,-40.57079315185547,37.87691116333008
macaque,10,22months,rh,pi,arc,3,-27.036684036254883,-34.99863052368164,40.51282501220703
macaque,10,22months,rh,pi,arc,4,-31.700458526611328,-25.81264877319336,41.910709381103516
macaque,10,22months,rh,pi,arc,5,-37.84423828125,-22.707618713378906,38.82537841796875
macaque,10,22months,rh,pi,arc,6,-44.5882682800293,-23.18579864501953,32.18681335449219
macaque,10,22months,rh,pi,arc,7,-46.41577911376953,-25.933135986328125,26.93189239501953
macaque,10,22months,rh,pi,arc,8,-46.771968841552734,-31.1044921875,21.47313117980957
macaque,10,22months,rh,pi,arc,9,-47.26375961303711,-34.05720138549805,14.668917655944824
macaque,10,22months,rh,pi,arc,10,-47.38300704956055,-35.339908599853516,10.792497634887695
macaque,10,22months,rh,pi,cb,1,7.56524133682251,64.3529052734375,-3.7167184352874756
macaque,10,22months,rh,pi,cb,2,-4.2859086990356445,64.38111114501953,-7.638250350952148
macaque,10,22months,rh,pi,cb,3,-18.335527420043945,60.75446319580078,-10.863744735717773
macaque,10,22months,rh,pi,cb,4,-28.920475006103516,54.685550689697266,-10.013041496276855
macaque,10,22months,rh,pi,cb,5,-31.400053024291992,48.763851165771484,-10.749226570129395
macaque,10,22months,rh,pi,cb,6,-25.31809425354004,38.9050407409668,-14.086851119995117
macaque,10,22months,rh,pi,cb,7,-15.008068084716797,28.99966049194336,-20.853317260742188
macaque,10,22months,rh,pi,cb,8,-7.742414474487305,32.24391555786133,-22.913433074951172
macaque,10,22months,rh,pi,ce,1,-6.920958518981934,3.170267343521118,59.1861686706543
macaque,10,22months,rh,pi,ce,2,-13.547146797180176,4.065016269683838,58.276241302490234
macaque,10,22months,rh,pi,ce,3,-23.40996551513672,3.6284842491149902,54.839168548583984
macaque,10,22months,rh,pi,ce,4,-33.190391540527344,0.6371257305145264,49.791770935058594
macaque,10,22months,rh,pi,ce,5,-39.88745880126953,-5.094537258148193,44.331146240234375
macaque,10,22months,rh,pi,ce,6,-44.043434143066406,-8.88967514038086,38.8482666015625
macaque,10,22months,rh,pi,ce,7,-49.91358947753906,-7.509245872497559,31.085556030273438
macaque,10,22months,rh,pi,ce,8,-52.6920166015625,-3.687758207321167,26.651567459106445
macaque,10,22months,rh,pi,di,1,-19.935686111450195,-19.773860931396484,50.42709732055664
macaque,10,22months,rh,pi,di,2,-22.03599739074707,-13.651934623718262,49.88412094116211
macaque,10,22months,rh,pi,di,3,-23.393774032592773,-8.997380256652832,51.85071563720703
macaque,10,22months,rh,pi,io,1,-50.108394622802734,29.962928771972656,19.979036331176758
macaque,10,22months,rh,pi,io,2,-50.569026947021484,31.249643325805664,15.01862621307373
macaque,10,22months,rh,pi,io,3,-49.43339538574219,38.96053695678711,8.90228271484375
macaque,10,22months,rh,pi,io,4,-46.37431716918945,45.8267822265625,5.104269504547119
macaque,10,22months,rh,pi,io,5,-41.86370086669922,51.843971252441406,0.5288616418838501
macaque,10,22months,rh,pi,io,6,-37.294189453125,54.83481216430664,-2.193037986755371
macaque,10,22months,rh,pi,io,7,-31.85294532775879,58.04713439941406,-4.41646146774292
macaque,10,22months,rh,pi,ip,1,-46.37974548339844,0.3278599977493286,39.412986755371094
macaque,10,22months,rh,pi,ip,2,-43.483272552490234,6.089895725250244,41.1161994934082
macaque,10,22months,rh,pi,ip,3,-38.33686065673828,12.296568870544434,44.99396514892578
macaque,10,22months,rh,pi,ip,4,-33.66705322265625,15.715203285217285,48.18742752075195
macaque,10,22months,rh,pi,ip,5,-28.804443359375,19.6159610748291,51.93614196777344
macaque,10,22months,rh,pi,ip,6,-23.233247756958008,24.4728946685791,53.31147766113281
macaque,10,22months,rh,pi,ip,7,-19.984724044799805,30.984195709228516,55.06254196166992
macaque,10,22months,rh,pi,ip,8,-13.515546798706055,37.83899688720703,53.95236587524414
macaque,10,22months,rh,pi,ip,9,-8.156445503234863,45.56249237060547,51.90304183959961
macaque,10,22months,rh,pi,ip,10,-7.124298095703125,50.31175231933594,48.94922637939453
macaque,10,22months,rh,pi,la,1,-7.522274971008301,-16.388105392456055,-3.654819965362549
macaque,10,22months,rh,pi,la,2,-17.953901290893555,-18.722694396972656,-3.111945867538452
macaque,10,22months,rh,pi,la,3,-30.601797103881836,-24.992834091186523,-4.1203203201293945
macaque,10,22months,rh,pi,la,4,-41.70897674560547,-26.79310417175293,-4.041657447814941
macaque,10,22months,rh,pi,la,5,-48.43583297729492,-21.792667388916016,0.20140941441059113
macaque,10,22months,rh,pi,la,6,-53.37342071533203,-12.585912704467773,8.674738883972168
macaque,10,22months,rh,pi,la,7,-54.36199951171875,-1.3335119485855103,13.887735366821289
macaque,10,22months,rh,pi,la,8,-52.77219772338867,8.393892288208008,22.781225204467773
macaque,10,22months,rh,pi,la,9,-49.37144088745117,13.027076721191406,30.45412254333496
macaque,10,22months,rh,pi,la,10,-44.254268646240234,20.668991088867188,36.501338958740234
macaque,10,22months,rh,pi,la,11,-38.15727233886719,28.099660873413086,40.278751373291016
macaque,10,22months,rh,pi,la,12,-36.81625747680664,32.8409423828125,40.43098449707031
macaque,10,22months,rh,pi,lu,1,-49.38636779785156,38.38848114013672,19.0136661529541
macaque,10,22months,rh,pi,lu,2,-46.67844772338867,39.78066635131836,25.20537567138672
macaque,10,22months,rh,pi,lu,3,-42.672515869140625,42.1005744934082,31.2985897064209
macaque,10,22months,rh,pi,lu,4,-36.054039001464844,44.524681091308594,36.228797912597656
macaque,10,22months,rh,pi,lu,5,-30.30621910095215,47.76564025878906,40.133182525634766
macaque,10,22months,rh,pi,lu,6,-26.310434341430664,50.2119255065918,42.526588439941406
macaque,10,22months,rh,pi,lu,7,-21.671724319458008,51.869503021240234,44.43568420410156
macaque,10,22months,rh,pi,lu,8,-16.90867805480957,53.04625701904297,45.75265884399414
macaque,10,22months,rh,pi,lu,9,-10.885395050048828,53.07252883911133,47.2889404296875
